code,p1_offset,p2_offset
puty,-11,-11
bril,5,5
puty2,4,4
bril2,-10,-10
make,0,0
make2,13,13
star,-6,-6
trip,-3,-3
para,-2,-2
sptr,-8,-8
para2,-5,-5
ajam,-26,-26
clea,-7,-7
luvm,-6,-6
this,0,0
thin,-5,-5
keep,-9,-9
emot,-4,-4
geno,-21,-21
afro,-4,-4
dyna,4,4
dead,8,8
lase,-10,-10
sile,5,5
rebi,-10,-10
dgra,0,0
afte,5,5
cuti,-3,-3
theb,-5,-5
virt,-5,-5
amcs,2,2
drop,-4,-4
stop,-7,-7
wild,-10,-10
sprs,-3,-3
hyst,-2,-2
pevo,-12,-12
baby,-4,-4
clim,-3,-3
burn,-6,-6
gher,-7,-7
naha,-3,-3
bfor,-9,-9
agai,-2,-2
summ,12,12
lead,-2,-2
teng,23,23
olic,-8,-8
eran,-2,-2
onts,-8,-8
orio,-9,-9
nite,-7,-7
sexy,-15,-15
feal,4,4
stil,-5,-5
ecst,-6,-6
abso,4,4
brok,-11,-11
dxyy,-8,-8
elec,14,14
peta,-4,-4
abys,4,4
sana,-2,-2
pafr,-8,-8
inse,2,2
lcan,-12,-12
lett,-8,-8
heal,9,9
maxx,-5,-5
exot,-11,-11
cand,-5,-5
soin,-7,-7
drte,8,8
esti,-1,-1
swee,-1,-1
secr,-17,-17
rain,-7,-7
unli,-4,-4
toth,-7,-7
tsug,-1,-1
roll,2,2
opti,7,7
ifee,-4,-4
andy,-7,-7
kaku,-15,-15
afro3,6,6
star3,-3,-3
bril3,-10,-10
bfor3,-6,-6
drop3,4,4
hyst3,0,0
sexy3,-2,-2
sprs3,-5,-5
stil3,-3,-3
wild3,-5,-5
burn3,-5,-5
tsug3,-3,-3
ecst3,-10,-10
sile3,-8,-8
nite3,-7,-7
gher3,-4,-4
summ3,-6,-6
vani,-4,-4
jamm,-2,-2
logi,11,11
shin,20,20
bom2,0,0
mcut,-4,-4
suns,-10,-10
surv,0,0
issk,-4,-4
suga,-14,-14
lamo,-7,-7
imgo,0,0
stin,-6,-6
thel,-5,-5
game,-2,-2
jane,-2,-2
belo,-5,-5
ledl,-16,-16
radu,-23,-23
vvvv,-4,-4
aaaa,-2,-2
colo,1,1
tayy,4,4
meal,-2,-2
froz,-6,-6
daik,-3,-3
jetw,-10,-10
wedd,-8,-8
surv3,11,11
bagg,-7,-7
lege,1,1
aois,-7,-7
mike,-7,-7
yncc,-6,-6
stoi,-3,-3
tars,0,0
ichi,-5,-5
gene,-6,-6
xeno,-7,-7
saku,0,0
rose,-8,-8
heav,-5,-5
hype,-10,-10
laba,-4,-4
ddre,1,1
ripm,0,0
airr,-2,-2
tear,-6,-6
acro,0,0
funk,-15,-15
tryl,-12,-12
frve,-10,-10
satn,1,1
brou,-8,-8
tomo,11,11
mize,-1,-1
inee,1,1
stup,3,3
scor,0,0
deux,-8,-8
maxp,11,11
canb,-17,-17
parb,-6,-6
free,4,4
stas,-13,-13
bald,-3,-3
gorg,0,0
kee2,-5,-5
mind,-1,-1
put3,-8,-8
quic,6,6
polo,-4,-4
oran,-7,-7
diff,4,4
mari,-1,-1
tmrr,-5,-5
sedu,2,2
insi,-3,-3
pass,-2,-2
youg,0,0
mids,-18,-18
monk,-9,-9
bais,-3,-3
remx,-3,-3
doll,-14,-14
ifut,-14,-14
aaaa2,11,11
rzon,-6,-6
hpan,1,1
xeph,-5,-5
hima,5,5
drab,-10,-10
curu,14,14
muge,5,5
nizi,10,10
gekk,-4,-4
kono,12,12
mooo,13,13
thir,15,15
dand,7,7
kage,12,12
tika,3,3
unde,10,10
rara,6,6
braz,3,3
taur,-7,-7
tier,-6,-6
sksk,5,5
okor,7,7
murm,-2,-2
flya,-3,-3
inno,3,3
myon,-3,-3
flow,8,8
rbow,-1,-1
gate,10,10
fasc,-5,-5
cach,-16,-16
qmas,0,0
stop2,12,12
sedu2,17,17
chao,-2,-2
lab3,0,0
tlov,9,9
dvis,15,15
hana,9,9
flow2,19,19
fasc2,-8,-8
flya2,-10,-10
soul,9,9
gate2,6,6
moos,-4,-4
flow3,10,10
felw,2,2
silv,7,7
trim,9,9
fied,6,6
mitr,10,10
mala,9,9
rasp,15,15
bloo,2,2
dazz,4,4
fway,13,13
lshi,11,11
bdow,-1,-1
spar,6,6
cufo,5,5
acol,-3,-3
conf,-6,-6
will,9,9
lits,6,6
ifly,-4,-4
wwlt,1,1
hand,-1,-1
ngon,-4,-4
tbea,13,13
bins,-2,-2
mwit,0,0
trea,-5,-5
samu,6,6
ucha,9,9
tigh,8,8
ngoo,-12,-12
firr,-2,-2
unre,14,14
stah,2,2
vate,-6,-6
venu,-11,-11
blin,1,1
athi,0,0
uber,0,0
arra,9,9
trix,1,1
vemb,-8,-8
dofl,3,3
volc,2,2
eday,-14,-14
plut,-7,-7
pard,-4,-4
swit,-6,-6
alth,6,6
trus,8,8
plur,-4,-4
lamd,0,0
votu,1,1
uran,5,5
mars,1,1
whyn,1,1
shad,2,2
gili,-13,-13
pose,-1,-1
bris,5,5
amch,-5,-5
dtwf,8,8
dyns,4,4
bfov,-9,-9
deag,-2,-2
sunk,7,7
satu,0,0
tloc,4,4
pluf,2,2
doub,-1,-1
smil,-16,-16
puzz,7,7
timh,-11,-11
saga,5,5
ontb,8,8
trac,-1,-1
waiu,8,8
drem,-1,-1
flig,2,2
tick,6,6
tajh,-4,-4
sabe,-6,-6
